signal_date,entry_date,exit_date,entry_px,exit_px,net_ret
2007-10-18,2007-10-19,2007-10-25,5360.35009765625,5568.9501953125,0.0378768038411208
2007-11-20,2007-11-21,2007-11-27,5778.7998046875,5698.14990234375,-0.014941896608478
2007-12-17,2007-12-18,2007-12-26,5777.60009765625,6070.75,0.049688640567518316
2008-01-15,2008-01-16,2008-01-22,6065.0,4899.2998046875,-0.19300872673614877
2008-01-22,2008-01-23,2008-01-29,4903.0498046875,5280.7998046875,0.07596718461991747
2008-01-30,2008-01-31,2008-02-06,5172.25,5322.5498046875,0.028030152788085516
2008-02-06,2008-02-07,2008-02-13,5322.5498046875,4929.4501953125,-0.07478135425076438
2008-02-20,2008-02-21,2008-02-27,5156.89990234375,5268.39990234375,0.02060022254847982
2008-03-03,2008-03-04,2008-03-11,4958.5498046875,4865.89990234375,-0.019665880007355585
2008-03-13,2008-03-14,2008-03-24,4623.7998046875,4609.85009765625,-0.00401359986499239
2008-03-31,2008-04-01,2008-04-07,4735.64990234375,4761.2001953125,0.004390235021924482
2008-06-02,2008-06-03,2008-06-09,4739.2998046875,4500.9501953125,-0.05124156089767917
2008-06-09,2008-06-10,2008-06-16,4522.0,4572.5,0.01015678082870819
2008-06-20,2008-06-23,2008-06-27,4351.14990234375,4136.64990234375,-0.05024771183389931
2008-06-27,2008-06-30,2008-07-04,4136.25,4016.0,-0.030042844396971358
2008-07-11,2008-07-14,2008-07-18,4047.449951171875,4092.25,0.010057964539990527
2008-07-25,2008-07-28,2008-08-01,4282.25,4413.5498046875,0.029631074070019192
2008-08-14,2008-08-18,2008-08-22,4430.7001953125,4327.4501953125,-0.024279698681026085
2008-09-05,2008-09-08,2008-09-12,4358.2998046875,4228.4501953125,-0.030763534576628282
2008-09-15,2008-09-16,2008-09-22,4072.550048828125,4223.0498046875,0.03591805021585803
2008-09-23,2008-09-24,2008-09-30,4125.75,3921.199951171875,-0.0505289933336287
2008-10-03,2008-10-06,2008-10-13,3817.300048828125,3490.699951171875,-0.0864720290740919
2008-10-15,2008-10-16,2008-10-22,3333.85009765625,3065.14990234375,-0.08151667189657374
2008-10-22,2008-10-23,2008-10-31,3064.800048828125,2885.60009765625,-0.059411584821582375
2008-11-05,2008-11-06,2008-11-12,2998.449951171875,2848.449951171875,-0.05097551772365416
2008-11-12,2008-11-14,2008-11-20,2848.0,2553.14990234375,-0.10442501078440813
2008-11-20,2008-11-21,2008-11-28,2553.60009765625,2755.10009765625,0.07782964197898368
2008-12-01,2008-12-02,2008-12-08,2672.89990234375,2784.0,0.0405241469248927
2008-12-17,2008-12-18,2008-12-24,2955.35009765625,2916.85009765625,-0.014013878398065893
2008-12-26,2008-12-29,2009-01-05,2857.14990234375,3121.449951171875,0.09141263373229247
2009-01-07,2009-01-09,2009-01-15,2919.949951171875,2736.699951171875,-0.06369486720402828
2009-01-15,2009-01-16,2009-01-22,2737.0,2713.800048828125,-0.009467622571551315
2009-02-02,2009-02-03,2009-02-09,2773.5,2919.89990234375,0.051732805704899576
2009-02-16,2009-02-17,2009-02-24,2853.85009765625,2733.89990234375,-0.042988670162656506
2009-03-02,2009-03-03,2009-03-09,2672.14990234375,2573.14990234375,-0.03801146281873413
2009-03-30,2009-03-31,2009-04-08,2981.699951171875,3342.949951171875,0.12003492150115247
2009-04-16,2009-04-17,2009-04-23,3369.5,3423.699951171875,0.015069697755042188
2009-04-28,2009-04-29,2009-05-07,3371.64990234375,3683.89990234375,0.09151818476034723
2009-05-26,2009-05-27,2009-06-02,4117.2998046875,4525.25,0.09798324441752948
2009-06-08,2009-06-09,2009-06-15,4427.75,4484.0,0.011691589315810713
2009-06-15,2009-06-16,2009-06-22,4478.10009765625,4235.25,-0.055176076295518905
2009-06-30,2009-07-01,2009-07-07,4292.2998046875,4202.14990234375,-0.021981388095018706
2009-07-08,2009-07-09,2009-07-15,4078.75,4233.5,0.03690293703931613
2009-08-06,2009-08-07,2009-08-13,4591.89990234375,4605.0,0.0018503388885398042
2009-08-17,2009-08-18,2009-08-24,4389.5,4642.7998046875,0.05664847711166887
2009-10-27,2009-10-28,2009-11-04,4846.5498046875,4710.7998046875,-0.02898129562484464
2009-11-26,2009-11-27,2009-12-03,5005.0498046875,5131.7001953125,0.024279545056989704
2010-01-21,2010-01-22,2010-01-29,5094.14990234375,4882.0498046875,-0.04259407156777195
2010-02-05,2010-02-08,2010-02-15,4755.35009765625,4801.9501953125,0.008790032893338129
2010-05-19,2010-05-20,2010-05-26,4924.2998046875,4917.39990234375,-0.0023994739275475796
2010-06-01,2010-06-02,2010-06-08,4970.75,4987.10009765625,0.002286293438920506
2010-11-16,2010-11-18,2010-11-24,6075.9501953125,5865.75,-0.03556053978429963
2010-12-09,2010-12-10,2010-12-16,5761.0,5948.75,0.03155756868935189
2011-01-07,2011-01-10,2011-01-14,5901.2998046875,5654.5498046875,-0.042770702906854585
2011-02-04,2011-02-07,2011-02-11,5430.14990234375,5310.0,-0.02310400370887966
2011-02-24,2011-02-25,2011-03-04,5321.0498046875,5538.75,0.03987243591878964
