Date,event_ret,entry_px,exit_px,exit_date,gross_ret,net_ret
2019-07-08,-0.02138240331360608,11531.599609375,11588.349609375,2019-07-15,0.004921260009223882,0.003921260009223882
2019-09-03,-0.02044311880570615,10790.400390625,11035.7001953125,2019-09-11,0.02273315130183895,0.02173315130183895
2020-02-03,-0.021250384719316173,11786.25,12031.5,2020-02-10,0.020808145084314278,0.019808145084314277
2020-02-24,-0.02081386879900149,11877.5,11132.75,2020-03-02,-0.06270258892864655,-0.06370258892864655
2020-03-06,-0.024806975302821943,10742.0498046875,9197.400390625,2020-03-16,-0.14379466136793206,-0.14479466136793206
2020-03-16,-0.07612100106679087,9285.400390625,7610.25,2020-03-23,-0.18040690978886753,-0.18140690978886753
2020-03-23,-0.12980466070471242,7848.2998046875,8281.099609375,2020-03-30,0.05514567682914007,0.054145676829140066
2020-03-30,-0.04378053643081892,8529.349609375,8748.75,2020-04-08,0.02572299186609106,0.02472299186609106
2020-04-21,-0.030274667144095657,9026.75,9380.900390625,2020-04-28,0.0392334329215942,0.0382334329215942
2020-05-04,-0.05744483901313502,9429.400390625,9239.2001953125,2020-05-11,-0.020170974551213527,-0.02117097455121353
2020-05-14,-0.025661909373274727,9182.400390625,9106.25,2020-05-21,-0.00829308104477211,-0.009293081044772111
2020-06-11,-0.021169158460066062,9544.9501953125,10091.650390625,2020-06-18,0.05727638008849789,0.05627638008849789
2020-08-31,-0.022330747801946216,11464.2998046875,11355.0498046875,2020-09-07,-0.009529583303057865,-0.010529583303057866
2020-09-21,-0.02211225483867385,11301.75,11227.5498046875,2020-09-28,-0.006565372204525799,-0.007565372204525799
2020-10-15,-0.02428360085835335,11727.400390625,11896.4501953125,2020-10-22,0.014414942703127931,0.01341494270312793
2020-12-21,-0.0314049525779333,13373.650390625,13932.599609375,2020-12-29,0.041794813115634266,0.040794813115634265
2021-02-22,-0.020428174591586412,14782.25,14761.5498046875,2021-03-01,-0.001400341308833264,-0.002400341308833264
2021-04-12,-0.03532558930400764,14364.900390625,14296.400390625,2021-04-20,-0.004768567698854698,-0.005768567698854698
2021-11-26,-0.029071254187753914,17055.80078125,17196.69921875,2021-12-03,0.00826102739514245,0.007261027395142451
2021-12-20,-0.021842546279377872,16773.150390625,17086.25,2021-12-27,0.018666714486146985,0.017666714486146984
2022-01-24,-0.02656790518738339,17001.55078125,17576.849609375,2022-02-01,0.033838020750404985,0.032838020750404984
2022-02-14,-0.03061622289529342,16933.25,17206.650390625,2022-02-21,0.016145771817282606,0.015145771817282605
2022-02-24,-0.04778103847083648,16515.650390625,16245.349609375,2022-03-04,-0.01636634191551034,-0.01736634191551034
2022-03-07,-0.02352668473994779,15747.75,16871.30078125,2022-03-14,0.07134674993252998,0.07034674993252998
2022-05-04,-0.022936183451936376,16854.75,16167.099609375,2022-05-11,-0.04079861111111116,-0.04179861111111116
2022-05-12,-0.022211752141785834,15977.0,15809.400390625,2022-05-19,-0.010490055040057622,-0.011490055040057623
2022-05-19,-0.026532725334179386,16043.7998046875,16170.150390625,2022-05-26,0.007875352938559121,0.006875352938559121
2022-06-13,-0.026379749115209128,15674.25,15350.150390625,2022-06-20,-0.020677200464137013,-0.021677200464137014
2024-01-17,-0.020894393512082443,21414.19921875,21352.599609375,2024-01-25,-0.002876577767197741,-0.003876577767197741
2024-06-04,-0.05929359941641077,22128.349609375,23264.849609375,2024-06-11,0.051359456085170674,0.05035945608517067
2024-08-05,-0.02678645789462286,24189.849609375,24347.0,2024-08-12,0.0064965426888845546,0.0054965426888845545
2024-10-03,-0.021196375260987388,25181.900390625,24998.44921875,2024-10-10,-0.007285040804279275,-0.008285040804279276
2025-04-07,-0.03243254628305536,22446.75,23437.19921875,2025-04-16,0.0441243930078965,0.0431243930078965
2026-03-13,-0.02064586811222946,23116.099609375,23114.5,2026-03-20,-6.919893070334027e-05,-0.0010691989307033403
2026-03-23,-0.026037751600726855,22878.44921875,22679.400390625,2026-04-01,-0.00870027623908487,-0.00970027623908487
2026-07-08,-0.02117524515827318,23928.94921875,24078.5,2026-07-15,0.0062497847223821346,0.0052497847223821345
